Check for Updates...	Zkontrolovat aktualizace...
Scroll notes up/down	Posun poznámek nahoru/dolů
'H', 'L'	'H', 'L'
Move caret in notes view backward/forward	Posun ukazatele v zobrazení poznámek dozadu/dopředu
Ctrl-'1'	Ctrl+1
Shows the Presenter Console	Zobrazí Obrazovku přednášejícího
Ctrl-'2'	Ctrl+2
Shows the Presentation Notes	Zobrazí poznámky prezentace
Ctrl-'3'	Ctrl+3
Shows the Slides Overview	Zobrazí přehled snímků
Ctrl-'4'	Ctrl+4
Switches monitors	Přepne monitory
Current Slide (%CURRENTSLIDENUMBER% of %SLIDECOUNT%)	Aktuální snímek (%CURRENTSLIDENUMBER% / %SLIDECOUNT%)
Current Slide, %CURRENTSLIDENAME%, %CURRENTSLIDENUMBER% of %SLIDECOUNT%	Aktuální snímek, %CURRENTSLIDENAME%, %CURRENTSLIDENUMBER% / %SLIDECOUNT%
Click to exit presentation...	Kliknutím ukončíte prezentaci...
Current Slide (end)	Aktuální snímek (poslední)
Next Slide	Následující snímek
Notes	Poznámky
Slide Overview, %CURRENTSLIDENAME%, %CURRENTSLIDENUMBER% of %SLIDECOUNT%	Přehled snímku, %CURRENTSLIDENAME%, %CURRENTSLIDENUMBER% / %SLIDECOUNT%
Help	Nápověda
Presenter Console	Obrazovka přednášejícího
Current Slide Info	Informace o aktuálním snímku
Presenter Notes	Poznámky přednášejícího
Business	Pracovní
Categories	Kategorie
CategoryID	KategorieID
CategoryID	KategorieID
CategoryName	KategorieNázev
CategName	KategNázev
Products	Výrobky
ProductID	VýrobekID
ProductID	VýrobekID
ProductName	VýrobekNázev
ProdName	VýrNázev
ProductDescription	VýrobekPopis
ProdDescr	VýrPopis
CategoryID	KategorieID
CategoryID	KategorieID
SupplierID	DodavatelID
SupplierID	DodavatelID
Serialnumber	VýrobníČíslo
SerialNo	VýrČís
UnitsInStock	KusůVBalení
UnitsStock	KsBalení
UnitsOnOrder	KusůVObjednávce
UnitsOrder	KsObjednávka
UnitPrice	JednotkováCena
UnitPrice	JednotkováCena
ReorderLevel	ČetnostObjednávek
ReordLevel	ČetnObj
Discontinued	VýrobaUkončena
Discontin	VýrUkonč
LeadTime	DobaVedení
LeadTime	DobaVedení
Suppliers	Dodavatelé
SupplierID	DodavatelID
SupplierID	DodavatelID
SupplierName	DodavatelNázev
SupplName	DodavNázev
ContactName	KontaktJméno
ContctName	KontJméno
ContactTitle	KontaktTitul
ContctTitl	KontTit
Address	Adresa
Address	Adresa
City	Obec
City	Obec
PostalCode	PSČ
PostalCode	PSČ
StateOrProvince	StátProvincie
StateProvi	StátProv
CountryOrRegion	ZeměRegion
CountryReg	ZeměReg
PhoneNumber	TelefonníČíslo
PhoneNo	Telefon
FaxNumber	FaxČíslo
FaxNo	Fax
PaymentTerms	PlatebníPodmínky
PaymntTerm	PlatPod
EmailAddress	E-mailováAdresa
EmailAddr	E-mail
Notes	Poznámky
Notes	Poznámky
MailingList	SeznamAdres
MailingListID	SeznamAdresID
MailingID	SeznamID
Prefix	Prefix
Prefix	Prefix
FirstName	KřestníJméno
FirstName	KřestníJméno
MiddleName	ProstředníJméno
MiddleName	ProstředníJméno
LastName	Příjmení
LastName	Příjmení
Suffix	Přípona
Suffix	Přípona
Title	Titul
Title	Titul
OrganizationName	OrganizaceNázev
OrgName	OrgNázev
Address	Adresa
Address	Adresa
City	Obec
City	Obec
PostalCode	PSČ
PostalCode	PSČ
StateOrProvince	StátProvincie
StateProvi	StátProv
CountryOrRegion	ZeměRegion
CountryReg	ZeměReg
PhoneNumber	TelefonníČíslo
PhoneNo	Telefon
FaxNumber	FaxČíslo
FaxNo	Fax
MobileNumber	MobilníTelefon
MobileNo	MobilTel
EmailAddress	E-mailováAdresa
EmailAddr	E-mail
Birthdate	DatumNarození
Birthdate	DatumNarození
Nationality	Národnost
Nationality	Národnost
DateUpdated	DatumZměny
DateUpdate	DatZměny
DateJoined	DatumPřidání
DateJoined	DatumPřidání
MembershipStatus	StavČlenství
MemberStat	StavČlen
PledgeAmount	Dal
PledgeAmnt	Dal
PledgePaidDate	DalZaplacenoDne
PldgPdDate	DalZapDat
DuesAmount	MáDáti
DuesAmount	MáDáti
DuesPaidDate	MáDátiZaplacenoDne
DuesPdDate	MDZapDat
Photo	Fotka
Photo	Fotka
Notes	Poznámky
Notes	Poznámky
Contacts	Kontakty
ContactID	KontaktID
ContactID	KontaktID
FirstName	KřestníJméno
FirstName	KřestníJméno
LastName	Příjmení
LastName	Příjmení
Title	Titul
Title	Titul
Address	Adresa
Address	Adresa
City	Obec
City	Obec
PostalCode	PSČ
PostalCode	PSČ
StateOrProvince	StátProvincie
StateProvi	StátProv
CountryOrRegion	ZeměRegion
CountryReg	ZeměReg
PhoneNumber	TelefonníČíslo
PhoneNo	Telefon
FaxNumber	FaxČíslo
FaxNo	Fax
MobileNumber	MobilníTelefon
MobileNo	MobilTel
EmailAddress	E-mailováAdresa
EmailAddr	E-mailováAdresa
Salutation	Oslovení
Salutation	Oslovení
Birthdate	DatumNarození
Birthdate	DatumNarození
ContactTypeID	KontaktTypID
CntctTypID	KonTypID
MaritalStatus	Stav
MaritlStat	Stav
SpouseName	PartnerJméno
SpouseName	PartnerJméno
SpousesInterests	ZájmyPartnery
SpouseIntr	PartZájmy
ContactsInterests	ZájmyKontaktu
CntctInter	KonZájm
ChildrenNames	DětiJména
ChildName	DítěJméno
Photo	Fotka
Photo	Fotka
Notes	Poznámky
Notes	Poznámky
Customers	Zákazníci
CustomerID	ZákazníkID
CustomerID	ZákazníkID
CompanyName	SpolečnostNázev
CompnyName	SpolNázev
FirstName	KřestníJméno
FirstName	KřestníJméno
LastName	Příjmení
LastName	Příjmení
Department	Oddělení
Department	Oddělení
Address	Adresa
Address	Adresa
City	Obec
City	Obec
PostalCode	PSČ
PostalCode	PSČ
StateOrProvince	StátProvincie
StateProvi	StátProv
CountryOrRegion	ZeměRegion
CountryReg	ZeměReg
PhoneNumber	TelefonníČíslo
PhoneNo	Telefon
FaxNumber	FaxČíslo
FaxNo	Fax
MobileNumber	MobilníTelefon
MobileNo	MobilTel
EmailAddress	E-mailováAdresa
EmailAddr	E-mail
Title	Titul
Title	Titul
Notes	Poznámky
Notes	Poznámky
Employees	Zaměstnanci
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
FirstName	KřestníJméno
FirstName	KřestníJméno
MiddleName	ProstředníJméno
MiddleName	ProstředníJméno
LastName	Příjmení
LastName	Příjmení
Title	Titul
Title	Titul
Department	Oddělení
Department	Oddělení
SocialSecurityNumber	ČísloSociálníhoPojištění
SocSecNo	ČísSocPoj
EmployeeNumber	ČísloZaměstnance
EmployeeNo	ČísZaměstn
EmailAddress	E-mailováAdresa
EmailAddr	E-mailováAdresa
Extension	Přípona
Extension	Přípona
Address	Adresa
Address	Adresa
City	Obec
City	Obec
PostalCode	PSČ
PostalCode	PSČ
StateOrProvince	StátProvincie
StateProvi	StátProv
CountryOrRegion	ZeměRegion
CountryReg	ZeměReg
PhoneNumber	TelefonníČíslo
PhoneNo	Telefon
FaxNumber	FaxČíslo
FaxNo	Fax
MobileNumber	MobilníTelefon
MobileNo	MobilTel
Birthdate	DatumNarození
Birthdate	DatumNarození
DateHired	DatumSmlouvy
DateHired	DatumSmlouvy
DepartmentID	OdděleníID
DeprtmntID	OdděleníID
Salary	Plat
Salary	Plat
BillingRate	ČetnostÚčtování
BillngRate	ČetnÚčt
Deductions	Srážky
Deductions	Srážky
SupervisorID	NadřízenýID
SupervisID	NadřID
SpouseName	PartnerJméno
SpouseName	PartnerJméno
OfficeLocation	UmístěníKanceláře
OfficeLoc	UmístKanc
Photo	Fotka
Photo	Fotka
Notes	Poznámky
Notes	Poznámky
Orders	Objednávky
OrderID	ObjednávkaID
OrderID	ObjednávkaID
CustomerID	ZákazníkID
CustomerID	ZákazníkID
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
OrderDate	ObjednávkaDatum
OrderDate	ObjednávkaDatum
PurchaseOrderNumber	ČísloObjednávky
PurchOrdNo	ČísObj
RequiredByDate	ŽádánoDoData
RequirDate	ŽádDatum
PromisedByDate	SlíbenoDoData
PromisDate	SlíbDatum
ShipName	DodacíJméno
ShipName	DodacíJméno
ShipAddress	DodacíAdresa
ShipAddres	DodacíAdr
ShipCity	DodacíMěsto
ShipCity	DodacíMěsto
ShipStateOrProvince	DodacíStátProvincie
ShpStatPro	DodStátProv
ShipPostalCode	DodacíPSČ
ShipPostlC	DodacíPSČ
ShipCountryOrRegion	DodacíZeměRegion
ShipCouReg	DodacíZeměReg
ShipPhoneNumber	DodacíTelefonníČíslo
ShipPhonNo	DodacíTelefon
ShipDate	DatumOdeslání
ShipDate	DatumOdeslání
ShippingMethodID	DruhOdesláníID
ShipMethID	DruhOdID
FreightCharge	CenaDopravy
FreightCharge	CenaDopravy
SalesTaxRate	SazbaDaněZObratu
SalesTaxRt	SazbaDaňObr
OrderDetails	PoložkyObjednávky
OrderDetailID	PoložkaObjednávkyID
OrderDetID	PolObjID
OrderID	ObjednávkaID
OrderID	ObjednávkaID
ProductID	VýrobekID
ProductID	VýrobekID
DateSold	DatumProdeje
DateSold	DatumProdeje
Quantity	Množství
Quantity	Množství
UnitPrice	JednotkováCena
UnitPrice	JednotkováCena
Discount	Sleva
Discount	Sleva
SalePrice	ProdejníCena
SalePrice	ProdejníCena
SalesTax	DaňZObratu
SalesTax	DaňZObratu
LineTotal	PoložkaCelkem
LineTotal	PoložkaCelkem
Payments	Platby
PaymentID	PlatbaID
PaymentID	PlatbaID
CustomerID	ZákazníkID
CustomerID	ZákazníkID
WorkorderID	ObjednávkaPráceID
WorkordrID	ObjPrácID
OrderID	ObjednávkaID
OrderID	ObjednávkaID
ReservationID	RezervaceID
ReservID	RezervID
MemberID	ČlenID
MemberID	ČlenID
RegistrationID	RegistraceID
RegistraID	RegistID
ProjectID	ProjektID
ProjectID	ProjektID
PaymentAmount	ZaplacenáČástka
PaymntAmnt	ZaplČástka
PaymentDate	DatumPlatby
PaymntDate	DatPlat
PaymentMethod	DruhPlatby
PaymntMeth	DruhPlat
CheckNumber	ČísloŠeku
CheckNo	ČísŠek
CreditCardType	KreditníKartaDruh
CCardType	KKartaDruh
CreditCardNumber	KreditníKartaČíslo
CCardNo	KKartaČís
Cardholder	MajitelKarty
Cardholder	MajitelKarty
CreditCardExpDate	KreditníKartaPlatnost
CCExpDate	KKartaPlatn
CreditCardAuthorizationNumber	KreditníKartaAutorizačníČíslo
CCAuthorNo	KKartaAutorČís
PaymentTerms	PlatebníPodmínky
PaymntTerm	PlatPod
PaymentMethodID	DruhPlatbyID
PaymMethID	DruhPlatID
Notes	Poznámky
Notes	Poznámky
Invoices	Faktury
InvoiceID	FakturaID
InvoiceID	FakturaID
CustomerID	ZákazníkID
CustomerID	ZákazníkID
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
DeliveryID	DodávkaID
DeliveryID	DodávkaID
Status	Stav
Status	Stav
InvoiceDate	DatumFaktury
InvoiceDat	DatFakt
Salesperson	Prodejce
Salespersn	Prodejce
ShipDate	DatumOdeslání
ShipDate	DatumOdeslání
ShippedTo	ZaslánoKomu
ShippedTo	ZaslánoKomu
ShippedVia	ZaslánoPřes
ShippedVia	ZaslánoPřes
ShippingCost	CenaDopravy
ShipCost	CenaDopr
Notes	Poznámky
Notes	Poznámky
InvoiceDetails	PoložkyFaktury
InvoiceDetailID	PoložkaFakturyID
InvoiDetID	PolFaktID
InvoiceID	FakturaID
InvoiceID	FakturaID
OrderID	ObjednávkaID
OrderID	ObjednávkaID
ProductID	VýrobekID
ProductID	VýrobekID
Quantity	Množství
Quantity	Množství
UnitPrice	JednotkováCena
UnitPrice	JednotkováCena
Discount	Sleva
Discount	Sleva
PaymentTerms	PlatebníPodmínky
PaymntTerm	PlatPod
Projects	Projekty
ProjectID	ProjektID
ProjectID	ProjektID
ProjectName	ProjektNázev
ProjctName	ProjNázev
ProjectDescription	ProjektPopis
ProjctDscr	ProPopis
ClientID	KlientID
ClientID	KlientID
PurchaseOrderNumber	ČísloObjednávky
PurchOrdNo	ČísObj
TotalBillingEstimate	OdhadCelkovýchNákladů
TotBillEst	OdhCelNákl
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
BeginDate	DatumZačátek
BeginDate	DatumZačátek
EndDate	DatumKonec
EndDate	DatumKonec
Events	Události
EventID	UdálostID
EventID	UdálostID
EventName	UdálostNázev
EventName	UdálostNázev
EventDescription	UdálostPopis
EventDescr	UdálPopis
EventTypeID	DruhUdálostiID
EventTypID	DruhUdálID
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
Status	Stav
Status	Stav
Location	Umístění
Location	Umístění
BeginDate	DatumZačátek
BeginDate	DatumZačátek
BeginTime	ČasZačátek
BeginTime	ČasZačátek
EndDate	DatumKonec
EndDate	DatumKonec
EndTime	ČasKonec
EndTime	ČasKonec
RequiredStaffing	PotřebníPracovníci
ReqStaffng	PotřPracov
Confirmation	Potvrzení
Confirmation	Potvrzení
AvailableSpaces	DostupnýProstor
AvailSpace	DostProstor
CostPerPerson	CenaZaOsobu
CostPPersn	CenaOsoba
Notes	Poznámky
Notes	Poznámky
Reservations	Rezervace
ReservationID	RezervaceID
ReservID	RezervID
CustomerID	ZákazníkID
CustomerID	ZákazníkID
EventID	UdálostID
EventID	UdálostID
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
QuantityReserved	PočetRezervováno
QuntityRes	PočRezer
ReservationDate	DatumRezervace
ReservDate	DatRezer
ReservationTime	ČasRezervace
ReservTime	ČasRezer
DepositDue	Záloha
DepositDue	Záloha
TotalDue	Celkem
TotalDue	Celkem
AmountPaid	Zaplaceno
AmountPaid	Zaplaceno
Confirmation	Potvrzení
Confirmation	Potvrzení
Notes	Poznámky
Notes	Poznámky
TimeBilled	ÚčtovanýČas
TimeBilledID	ÚčtovanýČasID
TimeBillID	ÚčtČasID
CustomerID	ZákazníkID
CustomerID	ZákazníkID
ProjectID	ProjektID
ProjectID	ProjektID
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
BillingDate	DatumÚčtu
BillingDate	DatumÚčtu
RatePerHour	CenaZaHodinu
RatePrHour	CenaHod
BillableHours	ÚčtovanéHodiny
BillablHrs	ÚčtHod
Notes	Poznámky
Notes	Poznámky
Expenses	Výdaje
ExpenseID	VýdajID
ExpenseID	VýdajID
ExpenseType	DruhVýdaje
ExpensType	DruhVýd
Purpose	Účel
Purpose	Účel
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
DatePurchased	DatumZakoupení
DatePurchd	DatZak
DateSubmitted	DatumVystavení
DateSubmit	DatVyst
AmountSpent	UtracenáČástka
AmountSpnt	UtrČást
AdvanceAmount	ČástkaZáloha
AdvnceAmnt	ČástZál
PaymentMethod	DruhPlatby
PaymntMeth	DruhPlat
Notes	Poznámky
Notes	Poznámky
Deliveries	Dodávky
DeliveryID	DodávkaID
DeliveryID	DodávkaID
CustomerID	ZákazníkID
CustomerID	ZákazníkID
OrderID	ObjednávkaID
OrderID	ObjednávkaID
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
ShippedFrom	ZaslánoOd
ShippedFrm	ZaslánoOd
ShippedVia	ZaslánoPřes
ShippedVia	ZaslánoPřes
TrackingCode	KódZásilky
TrckngCode	KódZás
ShipDate	DatumOdeslání
ShipDate	DatumOdeslání
ShipperPhoneNumber	OdesílatelTelefon
ShipPhonNo	DodacíTelefon
DestinationAddress	PříjemceAdresa
DestAddres	PříjAdr
DestinationCity	PříjemceMěsto
DestinCity	PříjMěsto
DestinationStateProvince	PříjemceStátProvincie
DestStaPro	PříjStátProv
DestinationPostalCode	PříjemcePSČ
DestPstCde	PříjPSČ
DestinationCountryRegion	PříjemceZeměRegion
DestCouReg	PříjZeměReg
ArrivalDate	DatumDoručení
ArrivlDate	DatDor
ArrivalTime	ČasDoručení
ArrivlTime	ČasDor
CurrentLocation	SoučasnéMísto
CurrLocatn	SoučMísto
PackageDimensions	RozměryBalíku
PackDimens	RozmBalíku
PackageWeight	VáhaBalíku
PackWeight	VáhBalíku
PickUpLocation	MístoVyzvednutí
PickUpLoca	MístoVyzv
PickUpDate	DatumVyzvednutí
PickUpDate	DatumVyzvednutí
PickUpTime	ČasVyzvednutí
PickUpTime	ČasVyzvednutí
ReceivedBy	Přijal
ReceivedBy	Přijal
FreightCharge	CenaDopravy
FrghtChrge	DoprCena
Notes	Poznámky
Notes	Poznámky
Assets	Majetek
AssetID	MajetekID
AssetID	MajetekID
Description	Popis
Descrption	Popis
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
AssetCategoryID	MajetekKategorieID
AssetCatID	MajetKatID
StatusID	StavID
StatusID	StavID
DepartmentID	OdděleníID
DeprtmntID	OdděleníID
VendorID	DodavatelID
VendorID	DodavatelID
Make	Značka
Make	Značka
Model	Model
Model	Model
ModelNumber	ModelČíslo
ModelNo	ModelČís
SerialNumber	VýrobníČíslo
SerialNo	VýrČís
BarcodeNumber	ČárovýKód
BarcodeNo	ČárKód
DateAcquired	DatumZískání
DateAcquir	DatZískání
DateSold	DatumProdeje
DateSold	DatumProdeje
PurchasePrice	NákupníCena
PurchPrice	NákCena
DepreciationMethod	DruhOdpisu
DeprecMeth	DruhOdp
DepreciableLife	DobaOdpisu
DeprecLife	DobaOdp
SalvageValue	ZbytkováCena
SalvageVal	ZbytCena
CurrentValue	AktuálníHodnota
CurrentVal	AktHodn
Comments	Komentáře
Comments	Komentáře
NextScheduledMaintenance	PříštíPlánovanáÚdržba
NtSchMaint	PříštíÚdrž
Transactions	Transakce
TransactionID	TransakceID
TrnsactnID	TransID
PaymentID	PlatbaID
PaymentID	PlatbaID
TransactionNumber	ČísloTransakce
TrnsactnNo	ČísTrans
Date	Datum
Date	Datum
Description	Popis
Descrption	Popis
Amount	Množství
Amount	Množství
AccountID	ÚčetID
AccountID	ÚčetID
ReferenceNumber	ReferenčníČíslo
RefrenceNo	ReferČís
NumberofUnits	PočetJednotek
NumberUnit	PočetJedn
WithdrawalAmount	VybíranáČástka
WithdrwAmt	VybírČást
DepositAmount	UkládanáČástka
DepositAmt	UklČást
InterestEarned	Úrok
IntrstEarn	Úrok
BuySellDate	NákupProdejDatum
BuySellDat	NákProdDat
BuySellPrice	NákupProdejCena
BuySellPrc	NákProdCena
ServiceCharge	Poplatek
ServiChrge	Poplatek
Taxable	Zdanitelné
Taxable	Zdanitelné
Notes	Poznámky
Notes	Poznámky
Tasks	Úkoly
TaskID	ÚkolID
TaskID	ÚkolID
Description	Popis
Descrption	Popis
StartDate	DatumZačátek
StartDate	DatumZačátek
EndDate	DatumKonec
EndDate	DatumKonec
Notes	Poznámky
Notes	Poznámky
EmployeesTasks	ZaměstnanciÚkoly
EmployeeTaskID	ZaměstnanecÚkolID
EmplTaskID	ZamÚkID
EmployeeID	ZaměstnanecID
EmployeeID	ZaměstnanecID
TaskID	ÚkolID
TaskID	ÚkolID
Private	Soukromé
Categories	Kategorie
CategoryID	KategorieID
CategoryID	KategorieID
CategoryName	KategorieNázev
CategName	KategNázev
Addresses	Adresy
AddressID	AdresaID
AddressID	AdresaID
FirstName	KřestníJméno
FirstName	KřestníJméno
LastName	Příjmení
LastName	Příjmení
Title	Titul
Title	Titul
Address	Adresa
Address	Adresa
City	Obec
City	Obec
PostalCode	PSČ
PostalCode	PSČ
StateOrProvince	StátProvincie
StateProvi	StátProv
CountryOrRegion	ZeměRegion
CountryReg	ZeměReg
PhoneNumber	TelefonníČíslo
PhoneNo	Telefon
FaxNumber	FaxČíslo
FaxNo	Fax
MobileNumber	MobilníTelefon
MobileNo	MobilTel
EmailAddress	E-mailováAdresa
EmailAddr	E-mailováAdresa
Salutation	Oslovení
Salutation	Oslovení
Birthdate	DatumNarození
Birthdate	DatumNarození
SendCard	PoslatPohled
SendCard	PoslatPohled
MaritalStatus	Stav
MaritlStat	Stav
SpouseName	PartnerJméno
SpouseName	PartnerJméno
Nickname	Přezdívka
Nickname	Přezdívka
Hobbies	Koníčky
Hobbies	Koníčky
ChildrenNames	DětiJména
ChildName	DítěJméno
Photo	Fotka
Photo	Fotka
Notes	Poznámky
Notes	Poznámky
DateUpdated	DatumZměny
DatUpdated	DatZměny
HouseholdInventory	Inventář
InventoryID	InventářID
InventryID	InventID
CategoryID	KategorieID
CategoryID	KategorieID
RoomID	MístnostID
RoomID	MístnostID
Item	Předmět
Item	Předmět
ItemType	DruhPředmětu
ItemType	DruhPředmětu
Description	Popis
Descrption	Popis
Manufacturer	Výrobce
Manufactur	Výrob
Model	Model
Model	Model
ModelNumber	ModelČíslo
ModelNo	ModelČís
SerialNumber	VýrobníČíslo
SerialNo	VýrČís
DatePurchased	DatumZakoupení
DatePurch	DatZak
PlacePurchased	MístoZakoupení
PlacePurch	MístZak
PurchasePrice	NákupníCena
PurchPrice	NákCena
AppraisedValue	OdhadovanáCena
AppraisVal	OdhadCena
Insured	Pojištěno
Insured	Pojištěno
Notes	Poznámky
Notes	Poznámky
Recipes	Recepty
RecipeID	Recept
RecipeID	Recept
Name	Název
Name	Název
Description	Popis
Descrption	Popis
Source	Zdroj
Source	Zdroj
WhichMeal	DruhJídla
WhichMeal	DruhJídla
Vegetarian	Vegetariánské
Vegetarian	Vegetariánské
TimeToPrepare	DobaPřípravy
TimePrepar	DobaPříp
NumberofServings	PočetPorcí
NoofServng	PočPor
CaloriesPerServing	KalorieNaPorci
CalPerServ	KalPor
NutritionalInformation	NutričníHodnota
NutriInfo	NutrHod
Ingredients	Přísady
Ingredient	Přísada
Instructions	Pokyny
Instruction	Pokyny
Utensils	Nádobí
Utensils	Nádobí
Notes	Poznámky
Notes	Poznámky
Plants	Rostliny
PlantID	RostlinaID
PlantID	RostlinaID
CommonName	ObecnéJméno
CommonName	ObecnéJméno
Genus	Rod
Genus	Rod
Species	Druh
Species	Druh
Flowering	Kvetoucí
Flowering	Kvetoucí
LightPreference	PotřebaSvětla
LightPref	PotřSvětl
TemperaturePreference	PotřebaTeploty
TempPref	PotřTepl
FertilizeFrequency	ČetnostHnojení
FertilFreq	ČetHnoj
WateringFrequency	ČetnostZalévání
WaterFreq	ČetZal
DatePurchased	DatumZakoupení
DatePurch	DatZak
PlacePurchased	MístoZakoupení
PlacePurch	MístZak
DatePlanted	DatumZasazení
DatPlanted	DatZasaz
DateRepotted	DatumPřesazení
DatRepottd	DatPřesaz
DatePruned	DatumProřezání
DatePruned	DatumProřezání
DateWatered	DatumZalévání
DateWaterd	DatZalév
Photo	Fotka
Photo	Fotka
Notes	Poznámky
Notes	Poznámky
Photographs	Fotografie
PhotoID	FotoID
PhotoID	FotoID
FilmID	FilmID
FilmID	FilmID
DateTaken	DatumVyfocení
DateTaken	DatumVyfocení
TimeTaken	ČasVyfocení
TimeTaken	ČasVyfocení
PlaceTaken	MístoVyfocení
PlaceTaken	MístoVyfocení
LensUsed	PoužitáČočka
LensUsed	PoužitáČočka
Aperture	Apertura
Aperture	Apertura
ShutterSpeed	RychlostZávěrky
ShutterSpd	RychZávěr
FilterUsed	PoužitýFiltr
FilterUsed	PoužitýFiltr
Flash	Blikat
Flash	Blikat
PrintSize	TiskováVelikost
PrintSize	TiskováVelikost
Notes	Poznámky
Notes	Poznámky
MiniatureFilms	Filmy
FilmID	FilmID
FilmID	FilmID
Make	Značka
Make	Značka
Photosensitivity	Světlocitlivost
Photosensi	Světlocit
NumberOfPhotos	PočetFotografií
NumPhotos	PočFoto
ColorFilm	BarevnýFilm
ColorFilm	BarevnýFilm
FilmExpirationDate	ZárukaFilmu
FlmExpDate	ZárFilm
DateDeveloped	DatumVyvolání
DateDevelp	DatVyvol
DevelopedBy	Vyvolal
DevelopdBy	Vyvolal
Camera	Kamera
Camera	Kamera
Notes	Poznámky
Notes	Poznámky
DVD-Collection	SbírkaDVD
CollectionID	SbírkaID
CollectnID	SbírID
MovieTitle	NázevFilmu
MovieTitle	NázevFilmu
Genre	Žánr
Genre	Žánr
Actor	Herec
Actor	Herec
Director	Režisér
Director	Režisér
Producer	Producent
Producer	Producent
ReleaseYear	RokVydání
ReleasYear	RokVyd
Rating	Hodnocení
Rating	Hodnocení
Subject	Předmět
Subject	Předmět
Length	Délka
Length	Délka
DateAcquired	DatumZískání
DateAcquir	DatZískání
PurchasedAt	Koupeno
PurchaseAt	Koupeno
PurchasePrice	NákupníCena
PurchPrice	NákCena
Review	Recenze
Review	Recenze
Notes	Poznámky
Notes	Poznámky
CD-Collection	SbírkaCD
CollectionID	SbírkaID
CollectnID	SbírID
AlbumTitle	NázevAlba
AlbumTitle	NázevAlba
Artist	Umělec
Artist	Umělec
MusicCategoryID	HudebníKategorieID
MusicCatID	HudKatID
RecordLabel	Vydavatel
RecordLabl	Vydavatel
Producer	Producent
Producer	Producent
ReleaseYear	RokVydání
ReleasYear	RokVyd
Rating	Hodnocení
Rating	Hodnocení
Format	Formát
Format	Formát
NumberofTracks	PočetStop
NoofTracks	PočStop
DatePurchased	DatumZakoupení
DatePurch	DatZak
PurchasedAt	Koupeno
PurchaseAt	Koupeno
PurchasePrice	NákupníCena
PurchPrice	NákCena
Review	Recenze
Review	Recenze
Notes	Poznámky
Notes	Poznámky
Library	Knihovna
BookID	KnihaID
BookID	KnihaID
Title	Titul
Title	Titul
Genre	Žánr
Genre	Žánr
AuthorID	AutorID
AuthorID	AutorID
CopyrightYear	RokVydání
CpyrightYr	RokVyd
ISBNNumber	ČísloISBN
ISBNNumber	ČísloISBN
Publisher	Vydavatel
Publisher	Vydavatel
Rating	Hodnocení
Rating	Hodnocení
Translator	Překladatel
Translator	Překladatel
Pages	Stránky
Pages	Stránky
DatePurchased	DatumZakoupení
DatePurch	DatZak
PurchasedAt	Koupeno
PurchaseAt	Koupeno
PurchasePrice	NákupníCena
PurchPrice	NákCena
CoverType	DruhObalu
CoverType	DruhObalu
EditionNumber	ČísloEdice
EditionNo	ČísEdice
Notes	Poznámky
Notes	Poznámky
Authors	Autoři
AuthorID	AutorID
AuthorID	AutorID
FirstName	KřestníJméno
FirstName	KřestníJméno
LastName	Příjmení
LastName	Příjmení
Nationality	Národnost
Nationality	Národnost
Birthdate	DatumNarození
Birthdate	DatumNarození
Birthplace	MístoNarození
Birthplace	MístoNarození
DateofDeath	DatumSmrti
DatofDeath	DatSmrt
TrainingLocation	MístoUčení
TraininLoc	MístUčení
MajorInfluences	HlavníVlivy
MajrInflue	HlavVliv
Photo	Fotka
Photo	Fotka
Notes	Poznámky
Notes	Poznámky
Accounts	Účty
AccountID	ÚčetID
AccountID	ÚčetID
AccountNumber	ČísloÚčtu
AccountNo	ČísÚčt
AccountName	NázevÚčtu
AcountName	NázÚčt
AccountTypeID	DruhÚčtuID
AccTypeID	DruhÚčtID
AccountType	DruhÚčtu
AccountTyp	DruhÚčt
Description	Popis
Descrption	Popis
Notes	Poznámky
Notes	Poznámky
Investments	Investice
InvestmentID	InvesticeID
InvestmtID	InvestID
AccountID	ÚčetID
AccountID	ÚčetID
SecurityName	NázevZáruky
SecuriName	NázZáru
SecuritySymbol	SymbolZáruky
SecuriSymb	SymZáru
SecurityType	DruhZáruky
SecuriType	DruhZáru
SharesOwned	VlastněnýPodíl
ShareOwned	VlastPodíl
Notes	Poznámky
Notes	Poznámky
ExerciseLog	ZáznamCvičení
LogID	LogID
LogID	LogID
PersonID	OsobaID
PersonID	OsobaID
Activity	Činnost
Activity	Činnost
WorkoutDate	DatumTréninku
WorkoutDat	DatTrén
ExerciseType	DruhCvičení
ExercisTyp	DruhCvič
TimeExercised	DobaCvičení
TimeExerci	DobaCvič
DistanceTraveled	AbsolvovanáVzdálenost
DistTravel	AbsVzdál
