on	zapnout
Linear (%SERIESNAME)	Lineární (%SERIESNAME)
Linear	Lineární
Linear	Lineární
Linear ascending	Lineárně stoupající
Linear descending	Lineárně klesající
Limes	Limity
Limits	Limity
Lime Sup/Sub script	Limita s indexem nahoře a dole
Lime Superscript Top	Limita s indexem nahoře
Lime Subscript Bottom	Limita s indexem dole
Solving time limit (seconds)	Limit na řešení (sekund)
Limit	Limit
Limbu	Limbu
LIKE cannot be used with this field.	LIKE nemůže být použito s tímto polem.
LIKE	LIKE
Trapezoid	Lichoběžník
People	Lidé
Extension Software License Agreement	Licenční ujednání rozšíření
License Agreement	Licenční ujednání
Licensing and Legal information	Licenční a právní informace
LibreOffice was based on OpenOffice.org.	LibreOffice byl vytvořen na základě OpenOffice.org.
LibreOffice was based on OpenOffice.org	LibreOffice byl vytvořen na základě OpenOffice.org
LibreOffice Basic	LibreOffice Basic
LibreOffice	LibreOffice
LibreOffice	LibreOffice
LibreLogo	LibreLogo
any	libovolně|lib
LibID: [1]	LibID: [1]
LF (Unix)	LF (Unix)
LF	LF
between	leží mezi
Horizontal Figure 8	Ležatá osmička
Left: 	Levý: 
Left:	Levý:
Left join	Levý spoj
Left column	Levý sloupec
Left Semicircle	Levý půlkruh
Left margin: 	Levý okraj:
Left margin:	Levý okraj:
Left paragraph margin	Levý okraj odstavce
Left margin	Levý okraj
Left margin	Levý okraj
Arch Left (Curve)	Levý oblouk (křivka)
Arch Left (Pour)	Levý oblouk (dovnitř)
Left Arc	Levý oblouk
Left	Levý
Left guide	Levé vodítko
Left pages	Levé stránky
Left frame border	Levé ohraničení rámce
Left paragraph border	Levé ohraničení odstavce
Lavender	Levandulová
Left Bracket	Levá závorka
Start quote:	Levá uvozovka:
Start quote	Levá uvozovka
Left Arrow	Levá šipka
Left Page	Levá stránka
Left Brace	Levá složená závorka
Start quote of single quotes	Levá jednoduchá uvozovka
Start quote of double quotes	Levá dvojitá uvozovka
Letter	Letter
Years	Let
Forest	Lesní zeleň
Lepcha	Lepča
LENB	LENB
LEN	LEN
Therapeutics - general	Lékařství – obecné
Out slightly	Lehce ven
Light Italic	Lehce skloněné
In slightly	Lehce dovnitř
Legend...	Legenda...
Legend on/off	Legenda zap/vyp
Legend On/Off	Legenda zap/vyp
Legend	Legenda
Legal	Legal
LEFTB	LEFTB
LEFT	LEFT
Glacier	Ledovec
Ice Blue	Ledově modrá
LCM	LCM
Latin	Latina
Latin-1	Latin-1
Latin 3 (ISO-8859-3)	Latin 3 (ISO-8859-3)
Latgalian	Latgalština
LaTeX Export	LaTeX Export
Lari	Lari
LARGE	LARGE
Lao	Laoština
Lao spelling dictionary	Laoský slovník pro kontrolu pravopisu
Lao	Laoské
Lanczos	Lanczos
Lambda Bar	Lambda s pruhem
lambda	lambda
LAMBDA	LAMBDA
Bottle	Láhev
Ladin	Ladinština
Label9	Label9
Kyrgyz (China)	Kyrgyzština (Čína)
Kirghiz	Kyrgizština
Cypriot Syllabary	Kyperské sylabické písmo
Cypriot Pound	Kyperská libra
Flowering	Kvetoucí
Flower	Květina
Quality:	Kvalita:
Quality in %	Kvalita v %
Quality	Kvalita
Quality	Kvalita
Box	Kvádr
Cone	Kužel
UnitsOnOrder	KusůVObjednávce
UnitsInStock	KusůVBalení
Cursor in protected areas	Kurzor v zamknutých oblastech
Formula Cursor	Kurzor pro vzorce
Mouse pointer as pen	Kurzor myši jako pero
italic	kurzíva
Italic	Kurzíva
Italic	Kurzíva
Italic Font	Kurzíva
KURT	KURT
Kurdish (Turkey)	Kurdština (Turecko)
Kurdish (Syria)	Kurdština (Sýrie)
Kurdish (Iran)	Kurdština (Irán)
Kurdish (Iraq)	Kurdština (Irák)
Kurdish	Kurdština
Kurdish (Turkey) spelling dictionary	Kurdský (Turecký) slovník pro kontrolu pravopisu
Coupon	Kupón
Kunyi	Kunyi
Kumyk	Kumyčtina
cumulative	kumulativní
Cumulative	Kumulativní
Round Brackets (Scalable)	Kulaté závorky (zvětšující se)
Round Brackets	Kulaté závorky
Round Callout	Kulatá bublina
Watch:	Kukátko:
Watch	Kukátko
Cubic spline	Kubický splajn
Cubic Spline	Kubický splajn
Which relation do you want to add?	Kterou relaci chcete přidat?
UnitsOrder	KsObjednávka
UnitsStock	KsBalení
Cross-reference...	Křížový odkaz...
cross-reference	křížový odkaz
Cross join	Křížové spojení
Cross-references	Křížové odkazy
Blue crossed 45 degrees	Křížové modré 45 stupňů
Blue crossed 0 degrees	Křížové modré 0 stupňů
Red crossed 45 degrees	Křížové červené 45 stupňů
Red crossed 0 degrees	Křížové červené 0 stupňů
Crossed	Křížová
Cross	Kříž
Curve objects	Křivky
Curve Integral Sup/Sub script	Křivkový integrál s indexem nahoře a dole
Curve Integral Superscript Top	Křivkový integrál s indexem nahoře
Curve Integral Subscript Bottom	Křivkový integrál s indexem dole
Curve Integral	Křivkový integrál
Curvy Right	Křivka vpravo
Curvy Left	Křivka vlevo
Motion Paths	Křivka pohybu
Curve Up	Křivka nahoru
Curve Down	Křivka dolů
Curve	Křivka
Angled Line	Křivka
FirstName	KřestníJméno
Cover open	Kryt je otevřen
Quadratic	Krychlový
Cube	Krychle
Circles and Ovals	Kruhy a ovály
Circles	Kruhy
Circle Arc	Kruhový oblouk
Circle sectors	Kruhové výseče
Circle segments	Kruhové úseče
Circle Pie	Kruhová výseč
Circle sector	Kruhová výseč
Circle segment	Kruhová úseč
Circle Segment	Kruhová úseč
Circular Arrow	Kruhová šipka
Radial	Kruhová
Circular	Kruhová
Circle reserved for 3	Kruh vyhrazen pro 3
Circle reserved for 2	Kruh vyhrazen pro 2
Circle reserved for 1	Kruh vyhrazen pro 1
Circle reserved for 0	Kruh vyhrazen pro 0
Circle (Curve)	Kruh (křivka)
Circle (Pour)	Kruh (dovnitř)
Circle 	Kruh 
circle	kruh
Circle	Kruh
Circle	Kroužek
Tab stops	Kroky tabulátoru
Tab stops	Kroky tabulátoru
Steps	Kroky
Steps	Kroky
Step Out	Krokovat s vystoupením
Step Into	Krokovat s vnořením
Step Over	Krokovat bez vnoření
Tabstop	Krok tabulátoru
Step	Krok
Search criterion	Kritérium vyhledávání
Criteria	Kritérium
searchcriteria	Kritéria vyhledávání
Search criteria	Kritéria vyhledávání
Filter criteria	Kritéria filtru
criteria	kritéria
Criteria	Kritéria
criteria 	kritéria
The criteria to be applied to the range.	Kritéria
Drawing Program	Kreslící program
Drawing / Presentation	Kreslení / prezentace
Drawing objects: $1	Kresby: $1
Drawing objects:	Kresby:
Drawings and controls	Kresby a ovládací prvky
Drawing	Kresby
Drawings	Kresby
draw objects	kresby
Draw objects	Kresby
draw object(s)	kresby
Drawing objects	Kresby
Charcoal Sketch	Kresba uhlem
OpenOffice.org 1.0 Drawing (Impress)	Kresba OpenOffice.org 1.0 (Impress)
OpenOffice.org 1.0 Drawing	Kresba OpenOffice.org 1.0
OpenDocument Drawing (Flat XML)	Kresba OpenDocument (Flat XML)
OpenDocument Drawing	Kresba OpenDocument
ODF Drawing (Impress)	Kresba ODF (Impress)
ODF Drawing	Kresba ODF
%SXWFORMATNAME %SXWFORMATVERSION Drawing	Kresba %SXWFORMATNAME %SXWFORMATVERSION
%productname% %formatversion% Drawing	Kresba %productname% %formatversion%
%PRODUCTNAME %PRODUCTVERSION Drawing	Kresba %PRODUCTNAME %PRODUCTVERSION
%PRODUCTNAME Drawing	Kresba %PRODUCTNAME
Drawing	Kresba
Drawing	Kresba
draw object	kresba
Draw object	Kresba
Draw Drawing	Kresba
drawing object(s)	kresba
CreditCardExpDate	KreditníKartaPlatnost
CreditCardType	KreditníKartaDruh
CreditCardNumber	KreditníKartaČíslo
CreditCardAuthorizationNumber	KreditníKartaAutorizačníČíslo
Short name	Krátký název
Short name	Krátký název
Metal	Kovový
Covariance...	Kovariance...
Covariance	Kovariance
Covariances	Kovariance
Metal	Kov
PurchaseAt	Koupeno
PurchasedAt	Koupeno
sphere	koule
Sphere	Koule
spheres	koule
Lower edge dimensioning	Kótovat spodní rohy
Dimensioning reserved for 7	Kótování vyhrazeno pro 7
Dimensioning reserved for 6	Kótování vyhrazeno pro 6
Dimensioning reserved 5	Kótování vyhrazeno pro 5
Dimensioning	Kótování
Dimensioning objects	Kótované objekty
Dimension lines	Kótovací čáry
Dimension Lines	Kótovací čáry
Dimension line overhang	Kótovací čára přesahuje
Dimension line	Kótovací čára
Dimension Line	Kótovací čára
Cotangent	Kotangens
Mahjong Tiles	Kostky na mahjong
Diamond	Kosočtverec
Rhombus	Kosočtverec
Solid diamond bullets	Kosočtvercové odrážky
Rhombuses	Kosočtverce
Cosine	Kosinus
Cornish	Kornština
Correlation...	Korelace...
Correlation	Korelace
Correlations	Korelace
Proofreading	Korektura
Korean (Windows-Johab-1361)	Korejština (Windows-Johab-1361)
Korean (Windows-949)	Korejština (Windows-949)
Korean (RoK)	Korejština (KLDR)
Korean (ISO-2022-KR)	Korejština (ISO-2022-KR)
Korean (EUC-KR)	Korejština (EUC-KR)
Korean (Apple Macintosh)	Korejština (Apple Macintosh)
Korean	Korejština
Coptic	Koptština
Coptic	Koptské
Coproduct Sup/Sub script	Koprodukt s indexem nahoře a dole
Coproduct Superscript Top	Koprodukt s indexem nahoře
Coproduct	Koprodukt
Coproduct 	Koprodukt
Copy: $1	Kopírovat: $1
Copy back	Kopírovat zpět
Copy heading	Kopírovat záhlaví
Copy sort results to:	Kopírovat výsledky řazení do:
Copy sort results to:	Kopírovat výsledky řazení do:
Copy results to...	kopírovat výsledky do...
Copy results to:	Kopírovat výsledky do:
Copy results to	Kopírovat výsledky do
Copy results to	Kopírovat výsledky do
Copy table	Kopírovat tabulku
Copy page	Kopírovat stránku
Copy list from:	Kopírovat seznam z:
Copy List	Kopírovat seznam
Copy RTF Table	Kopírovat RTF tabulku
Copy when moving	Kopírovat při přesunu
Copy values only	Kopírovat pouze hodnoty
Copy Link	Kopírovat odkaz
Copy Image	Kopírovat obrázek
Copy local graphics to Internet	Kopírovat lokální obrázky na Internet
Copy Sheet	Kopírovat list
Copy Graphics	Kopírovat grafiku
Copy To	Kopírovat do
Copy entire sheet	Kopírovat celý list
Copy %1	Kopírovat %1
Copy 	Kopírovat 
Copy	Kopírovat
Copy	Kopírovat
Copying: 	Kopírování: 
Copying layout files...	Kopírování souborů rozvržení...
Copying files to the network	Kopírování souborů do prostředí sítě
Duplicating presentation...	Kopírování prezentace...
Copying new files	Kopírování nových souborů
Copy to...	Kopie...
saved copy to $location$	kopie uložena do $location$
Cc	Kopie
Copy To	Kopie
Koongo (Congo)	Konžština (Kongo)
CntctInter	KonZájm
Hangul/Hanja Conversion	Konverze Hangul/Hanja
Conversion	Konverze
Convert bitmap to polygon	Konvertovat rastr na mnohoúhelník
Convert Database	Konvertovat databázi
Document Converter...	Konvertor dokumentů...
Document Converter	Konvertor dokumentů
CntctTypID	KonTypID
ContctTitl	KontTit
Check repeated words.	Kontrolovat výskyt opakovaných slov.
Check capitalization	Kontrolovat velká písmena
Check special regions	Kontrolovat speciální oblasti
Check words with numbers 	Kontrolovat slova s číslicemi
Check uppercase words	Kontrolovat slova napsaná velkými písmeny
Check spelling as you type	Kontrolovat pravopis během psaní
Check double quotation marks: x → “x”	Kontrolovat použité znaky dvojitých uvozovek: x → “x”
Check single spaces between sentences.	Kontrolovat mezery mezi větami.
Check single spaces between words.	Kontrolovat mezery mezi slovy.
Check grammar as you type	Kontrolovat gramatiku během psaní
Check Grammar	Kontrolovat gramatiku
Check more grammar errors.	Kontrolovat další gramatické chyby.
Check spelling as you type	Kontrolovat během psaní pravopis
Check grammar as you type	Kontrolovat během psaní gramatiku
Checking...	Kontrola...
Form data input checks for required fields	Kontrola zadaných údajů pro povinná pole
Validity...	Kontrola vstupních dat...
Widow control	Kontrola vdov
Widow control	Kontrola vdov
Save-Monitor	Kontrola uložení
System dependencies check	Kontrola systémových závislostí
Style checking	Kontrola stylu
Orphan control	Kontrola sirotků
Orphan control	Kontrola sirotků
Spelling and Grammar...	Kontrola překlepů a gramatiky...
Spelling...	Kontrola pravopisu...
Spellcheck...	Kontrola pravopisu...
Spellcheck: 	Kontrola pravopisu: 
Thai spelling dictionary	Kontrola pravopisu pro thajštinu
Swahili spelling dictionary	Kontrola pravopisu pro svahilštinu
Scottish Gaelic spelling dictionary	Kontrola pravopisu pro skotskou gaelštinu
Sinhala spelling dictionary	Kontrola pravopisu pro sinhálštinu
Lao spelling dictionary	Kontrola pravopisu pro laoštinu
Kurdish (Turkey) spelling dictionary	Kontrola pravopisu pro kurdštinu (Turecko)
Hindi spelling dictionary	Kontrola pravopisu pro hindštinu
Hebrew spelling dictionary	Kontrola pravopisu pro hebrejštinu
Gujarati spelling dictionary	Kontrola pravopisu pro gudžarátštinu
Breton spelling dictionary	Kontrola pravopisu pro bretonštinu
Bengali spelling dictionary	Kontrola pravopisu pro bengálštinu
Belarusian spelling dictionary	Kontrola pravopisu pro běloruštinu
Aragonese spelling dictionary	Kontrola pravopisu pro aragonskou španělštinu
Spellcheck is not available.	Kontrola pravopisu není dostupná.
Spellcheck not available	Kontrola pravopisu není dostupná
The spellcheck is complete.	Kontrola pravopisu je ukončena.
Spelling	Kontrola pravopisu
Spellcheck	Kontrola pravopisu
Spellcheck	Kontrola pravopisu
Spellcheck...	Kontrola pravopisu
Sequence checking	Kontrola pořadí
Send-Monitor	Kontrola odeslání
Hungarian sentence checking	Kontrola maďarských vět
Grammar checking (Russian)	Kontrola gramatiky (ruština)
Grammar checking (Portuguese)	Kontrola gramatiky (portugalština)
Grammar checking	Kontrola gramatiky
English sentence checking	Kontrola anglických vět
Check for Updates	Kontrola aktualizací
Controlling	Kontrola
Contrasting Color	Kontrastní barva
Contrast: 	Kontrast: 
Contrast:	Kontrast:
Contrast	Kontrast
ContctName	KontJméno
Pivot tables can not overlap.	Kontingenční tabulky se nemohou překrývat.
Pivot table	Kontingenční tabulka
Pivot Table	Kontingenční tabulka
Pivot Table	Kontingenční tabulka
Pivot Tables	Kontingenční tabulka
Context Help	Kontextová nápověda
Context	Kontext
Context	Kontext
The container cannot contain NULL objects.	Kontejner nesmí obsahovat objekty NULL.
Contacts	Kontakty
ContactTypeID	KontaktTypID
ContactTitle	KontaktTitul
Address Information	Kontaktní informace
Contact Information	Kontaktní informace
ContactName	KontaktJméno
ContactID	KontaktID
The constant rate of interest.	Konstantní úroková míra.
Constant Value	Konstantní hodnota
Constant $(ARG1) redefined.	Konstanta $(ARG1) předefinována.
Consolidate...	Konsolidovat...
Consolidate by	Konsolidovat podle
Consolidate	Konsolidovat
Consolidate by	Konsolidovat
Arrow concave	Konkávní šipka
Konkani	Kónkánština
Hobbies	Koníčky
PDF version conflict	Konflikt verzí PDF
Conflict	Konflikt
Configure...	Konfigurovat...
Configure as	Konfigurovat jako
The configuration file $1 was not found.	Konfigurační soubor $1 nebyl nalezen.
The configuration file $1 is corrupt.	Konfigurační soubor $1 je poškozen.
Configuration file	Konfigurační soubor
Configuration Schema	Konfigurační schéma
Configuration Menu	Konfigurační nabídka
Web Wizard Settings	Konfigurace průvodce
Configuration	Konfigurace
Configurations	Konfigurace
Deadline:	Konečný termín:
Close Values	Konečné hodnoty
End value:	Konečná hodnota:
End value	Konečná hodnota
Page End	Konec stránky
End of page	Konec stránky
List 5 End	Konec seznamu 5
List 4 End	Konec seznamu 4
List 3 End	Konec seznamu 3
List 2 End	Konec seznamu 2
List 1 End	Konec seznamu 1
End of footnote	Konec poznámky pod čarou
end of field	konec pole
Paragraph end	Konec odstavce
Hyperlink end	Konec hypertextového odkazu
End of document	Konec dokumentu
End of document	Konec dokumentu
Numbering 5 End	Konec číslování 5
Numbering 4 End	Konec číslování 4
Numbering 3 End	Konec číslování 3
Numbering 2 End	Konec číslování 2
Numbering 1 End	Konec číslování 1
Line end	Konec čáry
Action ended [Time]: [1]. Return value [2].	Konec akce [Time]: [1]. Návratová hodnota [2].
Close & Return to 	Konec a návrat do 
end	konec
End	Konec
End	Konec
End period	Konec
End with horizontal line	Končící vodorovnou čarou
Ends with	končí na
Final character	Koncový znak
End angle	Koncový úhel
Final angle	Koncový úhel
End type	Koncový typ
End style	Koncový styl
End Time	Koncový čas
The end date.	Koncové datum.
End date	Koncové datum
End Date	Koncové datum
The end date	Koncové datum
End number	Koncové číslo
End width	Koncová šířka
End quote of single quotes	Koncová jednoduchá uvozovka
End value	Koncová hodnota
End length	Koncová délka
Line Ends	Konce čáry
LibreOffice Community	Komunita LibreOffice
The LibreOffice Community	Komunita LibreOffice
Communication	Komunikace
To:	Komu:
Minimize Presentation...	Komprimovat prezentaci...
Compress punctuation only	Komprimovat pouze interpunkci
Compress Graphics	Komprimovat obrázky
Compress Graphic...	Komprimovat obrázek...
Compress punctuation and Japanese Kana	Komprimovat interpunkci a japonskou Kana
Compress punctuation and Japanese Kana	Komprimovat interpunkci a japonskou Kana
Presentation Minimizer	Kompresor prezentací
Compression:	Komprese:
JPEG Compression	Komprese JPEG
JPEG compression	Komprese JPEG
Compression	Komprese
UNO Components	Komponenty UNO
Component...	Komponenta...
Complex text layout (CTL)	Komplexní rozvržení textu (CTL)
CTL	komplexní rozvržení textu
Complex Text Layout	Komplexní rozvržení textu
CTL	Komplexní rozvržení
CTL	Komplexní rozvržení
Complex number 2	Komplexní číslo 2
Complex number 1	Komplexní číslo 1
Complex number	Komplexní číslo
A complex number	Komplexní číslo
The complex number	Komplexní číslo
CJK Compatibility Forms	Kompatibilní tvary CJK
Hash compatible	Kompatibilní otisk
CJK Compatibility Ideographs	Kompatibilní ideogramy CJK
CJK Compatibility	Kompatibilní CJK
Compatibility	Kompatibilita
Komi-Zyrian	Komi-Zyrian
Komi-Permyak	Komi-Permyak
Pointy Star	Kometa
Comments...	Komentáře...
Comments:	Komentáře:
Comments by 	Komentáře uživatele
Notes	Komentáře
Comment	Komentáře
Comments	Komentáře
Comments	Komentáře
Comment...	Komentář...
Comment: 	Komentář: 
Comment:	Komentář:
Version comment	Komentář k verzi
comment	komentář
Comment	Komentář
Comment	Komentář
Comments	Komentář
Combining Half Marks	Kombinující poloviční znaky
Combining Diacritical Marks	Kombinující diakritické znaky
Combining Diacritical Symbols	Kombinující diakritické symboly
Combine %1	Kombinovat %1
Pie exploded by %PERCENTVALUE percent	Koláč rozšířen o %PERCENTVALUE procent
KOI8 CS2	KOI8 CS2
Coefficients	Koeficienty
TrackingCode	KódZásilky
TrckngCode	KódZás
Field codes	Kódy polí
Text Encoded (Writer/Web)	Kódovaný text (Writer/Web)
Text Encoded (Master Document)	Kódovaný text (hlavní dokument)
RLE Encoding	Kódování RLE
Submission encoding	Kódování pro odeslání
Encoding	Kódování
Character code 	Kód znaku 
Error code	Kód chyby
an Error code	kód chyby
%PRODUCTNAME Basic libraries	Knihovny BASIC %PRODUCTNAME
Libraries	Knihovny
Dialog Library	Knihovna dialogu
$type$ library '$library$'	knihovna $type$ '$library$'
%PRODUCTNAME Basic Library	Knihovna %PRODUCTNAME Basic	Název dokumentu	 Stav						
%MACROLANG Library	Knihovna %MACROLANG
Library	Knihovna
Library	Knihovna
BookID	KnihaID
Book:	Kniha:
Book	Kniha
Book	Kniha
Moving Average...	Klouzavý průměr...
Moving average (%SERIESNAME)	Klouzavý průměr (%SERIESNAME)
Moving average	Klouzavý průměr
Moving Average	Klouzavý průměr
Moving Average	Klouzavý průměr
Cuneiform	Klínové písmo
Rotation Mode after Clicking Object	Kliknutím vstoupíte do režimu otáčení
Click to exit presentation...	Kliknutím ukončíte prezentaci...
Click here to start	Kliknutím sem začnete
Click here to create new documents.	Kliknutím sem vytvoříte nový dokument.
Click to follow link	Kliknutím přejdete na odkaz
Right click	Kliknutí pravým tlačítkem
click to open hyperlink:	kliknutí otevře hypertextový odkaz:
Click object	Kliknutí na objekt
Click to replace this text	Klikněte sem a vepište vlastní text
Click to add text	Klikněte pro vložení textu
Click to add Text	Klikněte pro vložení textu
Click to add notes	Klikněte pro vložení poznámek
Click to add Notes	Klikněte pro vložení poznámek
Click to add title	Klikněte pro vložení nadpisu
Click to add Title	Klikněte pro vložení nadpisu
Click to edit text	Klikněte pro úpravu textu
Click to edit the outline text format	Klikněte pro úpravu formátu textu osnovy
Click to edit the title text format	Klikněte pro úpravu formátu textu nadpisu
Click to edit the notes format	Klikněte pro úpravu formátu komentářů
Click to move the slide	Klikněte pro přesun snímku
Click Send.	Klikněte na Odeslat.
Zigzag	Klikatá
ClientID	KlientID
Client	Klient
RestngPuls	KlidPuls
RestingPulse	KlidovýPuls
Keyword	Klíčové slovo
Keywords:	Klíčová slova:
Keywords	Klíčová slova
Key words	Klíčová slova
Keywords	Klíčová slova
Key words	Klíčová slova
Sort keys	Klíče pro řazení
Key separated by commas	Klíče oddělené čárkami
Keys as separate entries	Klíče jako oddělené položky
Sort key 	Klíč řazení 
Sort key 	Klíč řazení 
Sort keys	Klíč pro řazení
Legend Key	Klíč legendy
Key 3	Klíč 3
Key 2	Klíč 2
Key 1	Klíč 1
Keys	Klávesy
Key bindings	Klávesové zkratky
Shortcut keys	Klávesové zkratky
Keyboard	Klávesnice
Key released	Klávesa uvolněna
Key pressed	Klávesa stisknuta
Classic Fax from Private	Klasický soukromý fax
Classic Fax	Klasický fax
Classic	Klasické
Blue classic	Klasická modrá
Positive:	Kladné:
Positive Y-Error-Bars	Kladné chybové úsečky Y
Positive X-Error-Bars	Kladné chybové úsečky X
Positive integer less than 2^48.	Kladné celé číslo menší než 2^48.
Positive and Negative	Kladné a záporné
Positive (+)	Kladné (+)
Positive	Kladné
Positive	Kladné
CCExpDate	KKartaPlatn
CCardType	KKartaDruh
CCardNo	KKartaČís
CCAuthorNo	KKartaAutorČís
Kituba	Kituba
Cinema	Kino
Kilometer	Kilometr
Gikuyu	Kikujština
ki/ku (tekisuto/tekusuto)	ki/ku (tekisuto/tekusuto)
Khmer Symbols	Khmerské symboly
Khmer	Khmerské
Kharoshthi	Kharóšthí
KeyID	KeyID
Kerning 	Kerning 
Kerning	Kerning
Quechua (Ecuador)	Kečuánština (Ekvádor)
to character	ke znaku
To Character	Ke znaku
To character	Ke znaku
To Character	Ke znaku
to page	ke stránce
To page	Ke stránce
To Page	Ke stránce
To page	Ke stránce
To Page	Ke stránce
Where to search	Kde hledat
every	každých
Every	každý
Capitalize Every Word	Každé Slovo Velkým Písmenem
Capitalize first letter of every sentence	Každé první písmeno věty bude velké
Each Value	Každá hodnota
Kazak	Kazaština
Kazakh	Kazaština
Kayah Li	Kayah Li
CategoryName	KategorieNázev
CategoryID	KategorieID
Categories...	Kategorie...
Category:	Kategorie:
Pivot Table Category	Kategorie kontingenční tabulky
Category and frame format	Kategorie a formát rámce
Category and Number	Kategorie a číslo
Category	Kategorie
Category	Kategorie
Categories	Kategorie
Categories	Kategorie
CategName	KategNázev
Catalog...	Katalog...
Catalog of the table	Katalog tabulky
Style Catalog	Katalog stylů
Object Catalog	Katalog objektů
Catalog	Katalog
Catalan (Valencian)	Katalánština (valencijština)
Catalan	Katalánština
Katakana	Katakana
Katakana	Katakana
Kashubian	Kašubština
maroon	kaštanová
Kashmiri (Kashmir)	Kašmírština (Kašmír)
Kashmiri (India)	Kašmírština (Indie)
Kashmiri	Kašmírština
Update cascade	Kaskádová aktualizace
Carian	Kárské
Karakalpak Latin	Karakalpačtina
kappa	kappa
KAPPA	KAPPA
Droplets	Kapky
Teardrop	Kapka
Promote Chapter	Kapitolu o úroveň výše
Demote Chapter	Kapitolu o úroveň níže
Chapter no.	Kapitola č.
Chapter	Kapitola
Chapter	Kapitola
Small caps	Kapitálky
Small capitals	Kapitálky
Principal	Kapitál
Pipette	Kapátko
Kannada	Kannadština
Kannada	Kannadské
Office	Kancelář
Kanbun	Kanbun
Canadan Aboriginal Syllables	Kanadské domorodé slabiky
Camera	Kamera
Stone	Kámen
Khmer	Kambodžština
CalPerServ	KalPor
CaloriesPerServing	KalorieNaPorci
Calendar URL	Kalendář URL
Calendar	Kalendář
Kaithi	Kaithi
Kabyle Latin	Kabulí (latinka)
Brownstone	Kabřinec
Kaamba	Kaamba
To snap lines	K vodítkům
There are no pages to be printed.	K tisku nejsou vybrány žádné stránky.
To object frame	K rámečku objektu
To frame	K rámci
To Frame	K rámci
To frame	K rámci
To Frame	K rámci
To Previous Toolbar/Window	K předchozí liště / oknu
To the page margins	K okrajům stránky
to paragraph	k odstavci
To paragraph	K odstavci
To Paragraph	K odstavci
To paragraph	K odstavci
To Paragraph	K odstavci
To Next Toolbar/Window	K následující liště / oknu
Updates for extensions available	K dispozici jsou aktualizace rozšíření
To Cell	K buňce
To Cell	K buňce
To object points	K bodům objektu
To Current Cell	K aktuální buňce
to	k
Are you sure ?	Jste si jisti?
Numbers are required. Check your input.	Jsou vyžadována čísla. Zkontrolujte vstup.
JRE is Defective	JRE je poškozeno
JPG	JPG
JPEG - Joint Photographic Experts Group	JPEG - Joint Photographic Experts Group
Yoruba	Jorubština
Doorplate	Jmenovka
Denominator	Jmenovatel
Denominator	Jmenovatel
First/Last name/Initials 2	Jméno/příjmení/iniciály 2
First/Last name/Initials	Jméno/příjmení/iniciály
Name:	Jméno:
Father's name	Jméno otce
Username or password is wrong	Jméno nebo heslo není platné
&User Name:	Jméno &uživatele:
Name	Jméno
First name	Jméno
First Name	Jméno
Namespaces for Forms	Jmenné prostory pro formuláře
Namespaces	Jmenné prostory
Go To Row	Jít na řádku
Go To Sheet	Jít na list
Other sound...	Jiný zvuk...
Other Sound...	Jiný zvuk...
Other external data source	Jiný externí zdroj dat
Other	Jiný
Other...	Jiné...
Other...	Jiné...
Other Characters...	Jiné znaky...
Others	Jiné
Else	Jinak
Otherwisevalue	Jinak
Other Icon...	Jiná ikona...
Southern Sotho (Sutu)	Jihosotština (sutu)
Southern Sotho	Jihosotština
South	Jih
Yiddish (USA)	Jidiš (USA)
Yiddish (Israel)	Jidiš (Izrael)
Yiddish	Jidiš
Set Diagonal Lines Only	Jen úhlopříčky
Only for me	Jen pro mě
read-only	jen pro čtení
Read-only	Jen pro čtení
Read-only	Jen pro čtení
Screen only	Jen obrazovka
Link Image	Jen jako odkaz
Link graphics	Jen jako odkaz
Link graphics	Jen jako odkaz
Subtle	Jemný
Fine dotted	Jemně tečkovaná
Fine Dotted	Jemně tečkovaná
Fine Dissolve	Jemné rozpuštění
Smooth scroll	Jemné posouvání
Fine Dashed (var)	Jemně čárkovaná (proměnná)
Fine dashed (variable)	Jemně čárkovaná (proměnná)
Fine dashed	Jemně čárkovaná
Fine Dashed	Jemně čárkovaná
Pyramid	Jehlan
Every Week	Jednou týdně
Every Month	Jednou měsíčně
Every Day	Jednou denně
Single print jobs	Jednotlivé tiskové úlohy
Single rotation	Jednotlivé otočení
Individual words	Jednotlivá slova
UnitPrice	JednotkováCena
Time unit	Jednotka času
Single-sided	Jednostranný
Single-line	Jednořádkový
Single rotation angle	Jednoduchý úhel otočení
Single shear angle	Jednoduchý úhel naklonění
Single horizontal shear	Jednoduché vodorovné naklonění
Single quotes	Jednoduché uvozovky
Single vertical shear	Jednoduché svislé naklonění
Single Line Spacing	Jednoduché řádkování
Single strikethrough	Jednoduché přeškrtnutí
Single underline	Jednoduché podtržení
Single overline	Jednoduché nadtržení
Single Lines (Scalable)	Jednoduché čáry (zvětšující se)
Single Lines	Jednoduché čáry
Simple	Jednoduché
Single	Jednoduché
Single	Jednoduchá
Single page	Jedna stránka
Single page	Jedna stránka
unique	jedinečný
Unique	Jedinečný
Distinct Values	Jedinečné hodnoty
Single label	Jeden štítek
One Slide	Jeden snímek
Single	Jeden
Password required	Je vyžadováno heslo
Color required	Je vyžadována barva
Extension Update Required	Je vyžadována aktualizace rozšíření
Restart Required	Je vyžadován restart
greater than	je větší než
is greater than	je větší než
Is Greater Than	Je větší než
